dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
0000049432,Citroen,Van Mossel Citroën Amsterdam,52.3301376,4.9246235000000524,"Pieter Braaijweg 2, 1114 AJ Amsterdam",Pieter Braaijweg 2,,1114 AJ,Amsterdam,NL,020  5701922,info@vanmosselcitroen.nl,,VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen | Uw CITROËN onderhouden | CITROËN Select Occasions | PRDV | Charte B2B Après-vente | e-EXPERT Center,7
0000117331,Citroen,van Mossel Amstelveen,52.30083,4.86389,"Bouwerij 6, 1185 XX Amstelveen",Bouwerij 6,,1185 XX,Amstelveen,NL,088  0014400,info@vanmosselcitroen.nl,,Uw CITROËN onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen,3
0000052512,Citroen,Van Mossel Citroën Zaandam,52.4306432,4.810237799999982,"Kleine Tocht 23, 1507 CB Zaandam",Kleine Tocht 23,,1507 CB,Zaandam,NL,075  6160074,info@vanmosselcitroen.nl,,Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | CITROËN Select Occasions | Uw CITROËN onderhouden | PRDV | Charte B2B Après-vente,6
0000052513,Citroen,Van Mossel Citroën Purmerend,52.515298,5.011149,"Vleetstraat 15-17, 1446 AP Purmerend",Vleetstraat 15-17,,1446 AP,Purmerend,NL,0299  796631,info@vanmosselcitroen.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | PRDV | Charte B2B Après-vente,5
0000119905,Citroen,Motorhuis Hoofddorp,52.3061325,4.6655954,"Sonderholm 164, 2133 JJ Hoofddorp",Sonderholm 164,,2133 JJ,Hoofddorp,NL,+31 235 542920,hoofddorp@motorhuis.nl,,Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden,3
0000116734,Citroen,Motorhuis Velserbroek,52.437092,4.653307,"Zeilmakerstraat 15, 1991 JC Velserbroek",Zeilmakerstraat 15,,1991 JC,Velserbroek,NL,+31 23 517 3120,citroen.klantcontact@motorhuis.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | e-EXPERT Center,4
0000119324,Citroen,van Mossel Heemskerk,52.506889,4.654747,"Rijksstraatweg 54, 1964LK Heemskerk",Rijksstraatweg 54,,1964LK,Heemskerk,NL,0251243193,info@vanmosselcitroen.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen,3
0000051577,Citroen,Janssen van Kouwen Hilversum,52.214443,5.1444241000000375,"Oscar Romerolaan 21, 1216 TJ Hilversum",Oscar Romerolaan 21,,1216 TJ,Hilversum,NL,0356210953,info@janssenvankouwen.nl,,CITROËN Select Occasions | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | PRDV | Charte B2B Après-vente,6
0000120790,Citroen,Janssen van Kouwen Almere,52.359685,5.258393,"Palmpolstraat 6, 1327 CE Almere",Palmpolstraat 6,,1327 CE,Almere,NL,0850530030,info@janssenvankouwen.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen,3
0000123376,Citroen,Nefkens Utrecht Meijewetering,52.113661,5.034842,"Meijewetering 19, 3543 AA UTRECHT",Meijewetering 19,,3543 AA,UTRECHT,NL,030 2414243,info@nefkens.nl,,Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden,3
0000052510,Citroen,Van Mossel Citroën Alkmaar,52.6478051,4.7426348999999846,"Helderseweg 55B, 1817 BB Alkmaar",Helderseweg 55B,,1817 BB,Alkmaar,NL,072  5118647,info@vanmosselcitroen.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | CITROËN Select Occasions | PRDV | e-EXPERT Center | Charte B2B Après-vente,7
0000124222,Citroen,Autocentrum van Vliet ALPHEN AAN DEN RIJN,52.12629,4.62991,"Curieweg 9, 2408 BZ Alphen aan den Rijn",Curieweg 9,,2408 BZ,Alphen aan den Rijn,NL,0172-460960,info@autocentrumvanvliet.nl,,VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen | Uw CITROËN onderhouden,3
0000061638,Citroen,Van Mossel Citroën Hoorn,52.6733439,5.0722406,"De Marowijne 59, 1689 AR Hoorn",De Marowijne 59,,1689 AR,Hoorn,NL,088  0014100,info@vanmosselcitroen.nl,,Uw CITROËN onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen | CITROËN Select Occasions | PRDV,5
0000120462,Citroen,Nefkens Zeist,52.089178,5.211411,"Pijlstaartlaan 1, 3704 HS ZEIST",Pijlstaartlaan 1,,3704 HS,ZEIST,NL,0302542060,info@nefkens.nl,,Uw CITROËN onderhouden | Een nieuwe CITROËN kopen,2
0000037232,Citroen,Motorhuis - Leiden,52.161902,4.472955,"Vondellaan 80, 2332 AH Leiden",Vondellaan 80,,2332 AH,Leiden,NL,071  5351800,leiden@motorhuis.nl,,VENTES DE VÉHICULES NEUFS LCV | CITROËN onderdelen | CITROËN Select Occasions | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | e-EXPERT Center | Charte B2B Après-vente | PRDV,8
0000125547,Citroen,Nefkens Amersfoort,52.164829,5.353309,"Amsterdamseweg 151, 3812 RR Amersfoort",Amsterdamseweg 151,,3812 RR,Amersfoort,NL,0334613846,info@nefkens.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden | Een nieuwe CITROËN kopen,3
0000118913,Citroen,Autocentrum van Vliet Gouda,52.015732,4.687755,"KEERKRING 3, 2801 DG Gouda",KEERKRING 3,,2801 DG,Gouda,NL,0182-683939,info@autocentrumvanvliet.nl,,Uw CITROËN onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen,3
0000116757,Citroen,Wittebrug Den Haag Forepark,52.05697,4.392663,"Donau 120, 2491 BC Den Haag",Donau 120,,2491 BC,Den Haag,NL,+31707568700,info@wittebrug.nl,,Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden,3
0000116728,Citroen,Broekhuis Harderwijk,52.3599159,5.6385259,"Lorentzstraat 17, 3846 AV Harderwijk",Lorentzstraat 17,,3846 AV,Harderwijk,NL,0341438400,harderwijk@broekhuis.nl,,Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV | Uw CITROËN onderhouden,3
0000132537,Citroen,Wittebrug Rotterdam,51.94824,4.543035,"Metaalstraat 5, 3067 GV Rotterdam",Metaalstraat 5,,3067 GV,Rotterdam,NL,0108504150,info@wittebrug.nl,,Uw CITROËN onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen,3
0000128381,Citroen,Mulder Van Mill Rotterdam,51.86439,4.47406,"Driemanssteeweg 700, 3084 CB Rotterdam",Driemanssteeweg 700,,3084 CB,Rotterdam,NL,010-3037590,rotterdam@muldervanmill.nl,,Uw CITROËN onderhouden | Een nieuwe CITROËN kopen | VENTES DE VÉHICULES NEUFS LCV,3
0000116677,Citroen,Wittebrug Bergschenhoek,51.9803611624988,4.5007548419067,"Weg en Land 62-64, 2661 KR Bergschenhoek",Weg en Land 62-64,,2661 KR,Bergschenhoek,NL,010  8504750,info@wittebrug.nl,,Uw CITROËN onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe CITROËN kopen,3
