dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
0000051724,DS,DS STORE AMSTERDAM ZUID OOST,52.33023240000001,4.924915800000008,"Pieter Braaijweg 2, 1114 AJ Amsterdam",Pieter Braaijweg 2,,1114 AJ,Amsterdam,NL,020  5701922,info@vanmosselcitroen.nl,,Uw DS onderhouden | Een nieuwe DS kopen | DS Certified Occasions | DS STORE | DS Delivery Valet | DS Service Valet | DS Rent Valet | DS DESIGN STUDIO | PRDV DS,9
0000120404,DS,DS STORE DE MEERN,52.077039,5.047633,"Landzigt 28, 3454 PE de Meern",Landzigt 28,,3454 PE,de Meern,NL,0306582700,info@nefkens.nl,,Uw DS onderhouden | Een nieuwe DS kopen | DS STORE,3
0000116034,DS,DS STORE DEN HAAG,52.05697,4.392663,"DONAU 120, 2491 BC DEN HAAG",DONAU 120,,2491 BC,DEN HAAG,NL,+31707568700,info@wittebrug.nl,,Een nieuwe DS kopen | Uw DS onderhouden | DS STORE,3
0000116033,DS,DS STORE ZWIJNDRECHT,51.828743,4.622176,"OHMSTRAAT 1, 3335 LT ZWIJNDRECHT",OHMSTRAAT 1,,3335 LT,ZWIJNDRECHT,NL,0786812700,info@zeeuw.nl,,Een nieuwe DS kopen | Uw DS onderhouden | DS STORE,3
0000051726,DS,DS SALON BREDA,51.59720879999999,4.750705599999947,"Spinveld 74, 4815HT Breda",Spinveld 74,,4815HT,Breda,NL,076  5229083,breda@vanbeekautogroep.nl,,Een nieuwe DS kopen | Uw DS onderhouden | DS Certified Occasions | PRDV DS | DS Delivery Valet | DS SALON | DS Rent Valet | DS Service Valet,8
0000070898,DS,DS STORE Eindhoven,51.4809646,5.4582205,"Pietersbergweg 25, 5628 BS Eindhoven",Pietersbergweg 25,,5628 BS,Eindhoven,NL,0407504070,info@nefkens.nl,,Uw DS onderhouden | Een nieuwe DS kopen | DS Certified Occasions | DS Rent Valet | PRDV DS | DS STORE | DS Delivery Valet | DS Service Valet,8
0000126976,DS,DS STORE GRONINGEN,53.22235786,6.61122768,"Rostockweg 12, 9723 HG GRONINGEN",Rostockweg 12,,9723 HG,GRONINGEN,NL,0505885600,kcc@hedinautomotive.nl,,Uw DS onderhouden | Een nieuwe DS kopen | DS STORE,3
0000114829,DS,DS STORE Sittard,50.995212,5.839372,"Bergerweg 77, 6135 KD Sittard",Bergerweg 77,,6135 KD,Sittard,NL,0464206666,info@hekkertautogroep.nl,,Een nieuwe DS kopen | Uw DS onderhouden | DS STORE,3
0000051731,DS,DS SALON ZWOLLE,52.494999,6.123616,"Nikolaus Ottosstraat 11, 8013 NG Zwolle",Nikolaus Ottosstraat 11,,8013 NG,Zwolle,NL,0382225967,Zwolle.ds@broekhuis.nl,,Uw DS onderhouden | DS Certified Occasions | Een nieuwe DS kopen | DS Service Valet | DS SALON | DS Rent Valet | PRDV DS | DS Delivery Valet,8
0000059474,DS,DS STORE ARNHEM,51.982451,5.984757,"Gildestraat 17, 6883DB VELP",Gildestraat 17,,6883DB,VELP,NL,088  9277676,info@wassinkautogroep.nl,,DS Certified Occasions | Een nieuwe DS kopen | Uw DS onderhouden | PRDV DS | DS STORE | DS Delivery Valet | DS Service Valet | DS Rent Valet,8
