dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
,Honda,Automotive-centre van Nieuwkerk Amsterdam B.V.,,,"Hoogoorddreef 41,  Amsterdam",Hoogoorddreef 41,,,Amsterdam,Netherlands,,,https://www.honda.nl/vestigingenamsterdam,,0
,Honda,Autobedrijf Adrie Jonk,,,"Newtonstraat 34-40,  Purmerend",Newtonstraat 34-40,,,Purmerend,Netherlands,,,http://www.adriejonk.nl,,0
,Honda,Automotive-centre Van Nieuwkerk Hilversum B.V.,,,"Zeverijnstraat 14 B,  Hilversum",Zeverijnstraat 14 B,,,Hilversum,Netherlands,,,https://honda.vannieuwkerk.nl/ons-bedrijf/vestigingen/hilversum,,0
,Honda,Autobedrijf Welman B.V.,,,"Parelweg 3,  Alkmaar",Parelweg 3,,,Alkmaar,Netherlands,,,http://www.honda-welman.nl/Vestiging/heerhugowaard,,0
,Honda,Automotive-centre Van Nieuwkerk Alphen a/d Rijn B.V.,,,"Curieweg 11, 2408 BZ,  Alphen aan den Rijn","Curieweg 11, 2408 BZ",,,Alphen aan den Rijn,Netherlands,,,https://www.honda.nl/vestigingenalphen-ad-rijn,,0
,Honda,de Bois Utrecht,,,"Landzigt 30,  de Meern",Landzigt 30,,,de Meern,Netherlands,,,http://www.debois.nl/ons-bedrijf/vestigingen/de-bois-utrecht,,0
,Honda,de Bois Amersfoort,,,"Xenonweg 17,  Amersfoort",Xenonweg 17,,,Amersfoort,Netherlands,,,http://www.debois.nl/ons-bedrijf/vestigingen/de-bois-amersfoort,,0
,Honda,J.L.J. Kneppers Autobedrijf B.V.,,,"Rokkeveenseweg Zuid 159,  Zoetermeer",Rokkeveenseweg Zuid 159,,,Zoetermeer,Netherlands,,,https://kneppersautobedrijf.nl/,,0
,Honda,Auto Ruiter,,,"Oosteinde 21,  Wateringen",Oosteinde 21,,,Wateringen,Netherlands,,,http://www.auto-ruiter.nl,,0
,Honda,G. Verhagen Auto's B.V.,,,"Driemanssteeweg 698,  Rotterdam",Driemanssteeweg 698,,,Rotterdam,Netherlands,,,http://www.honda-verhagen.nl,,0
,Honda,Automobielbedrijf Van Putten B.V.,,,"Oosterhoutseweg 95,  Breda",Oosterhoutseweg 95,,,Breda,Netherlands,,,http://www.garagevanputten.nl,,0
,Honda,Oostendorp Honda Tilburg,,,"Kraaivenstraat 30 b,  Tilburg",Kraaivenstraat 30 b,,,Tilburg,Netherlands,,,https://www.oostendorp-autogroep.nl/honda-oostendorp,,0
,Honda,Autobedrijf Van den Akker B.V.,,,"Eisenhowerweg 17,  Veghel",Eisenhowerweg 17,,,Veghel,Netherlands,,,https://www.gvandenakker.nl/,,0
,Honda,Autobedrijf Rotor B.V.,,,"Terhoevenderweg 96,  Heerlen",Terhoevenderweg 96,,,Heerlen,Netherlands,,,http://www.honda-rotor.nl/,,0
,Honda,Autobedrijf Borghstede B.V.,,,"Industrieweg 44A,  Assen",Industrieweg 44A,,,Assen,Netherlands,,,https://www.honda-borghstede.nl,,0
,Honda,Auto Scholing Twente B.V.,,,"Buitenhavenweg 1,  Almelo",Buitenhavenweg 1,,,Almelo,Netherlands,,,http://www.hondatwente.nl,,0
,Honda,Autobedrijf Wesselink Emst B.V.,,,"Hoofdweg 22,  Emst",Hoofdweg 22,,,Emst,Netherlands,,,https://www.honda-wesselink.nl/ons-bedrijf/vestigingen/emst,,0
,Honda,Autobedrijf Wesselink Deventer B.V.,,,"Solingenstraat 7,  Deventer",Solingenstraat 7,,,Deventer,Netherlands,,,https://www.honda-wesselink.nl/ons-bedrijf/vestigingen/deventer,,0
,Honda,Autobedrijf Wesselink Apeldoorn B.V.,,,"Laan v/d Dierenriem 35,  Apeldoorn",Laan v/d Dierenriem 35,,,Apeldoorn,Netherlands,,,https://www.honda-wesselink.nl/,,0
