dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
0710940,Jeep,JANSSEN VAN KOUWEN,52.298587,4.94442,"Snijdersbergweg 99-101, 1105 AN Amsterdam",Snijdersbergweg 99-101,,1105 AN,Amsterdam,NL,0850530030,info@jvk.nl,www.jeep.nl?locationCode=00001241&bannerid=DL&source=WCOR,Sales,1
0710960,Jeep,HEDIN AUTOMOTIVE WORMERVEER,52.484056,4.80826,1521 AR, ,,1521 AR, ,NL, ,cwpl.opel@hedinautomotive.nl,www.jeep.nl?locationCode=00001582&bannerid=DL&source=WCOR,Sales,1
0710664,Jeep,MOBILITY GROUP HAAKER HEEMSTEDE,52.3437,4.63019,"Cruquiusweg 35, 2102 LS Heemstede",Cruquiusweg 35,,2102 LS,Heemstede,NL,0235290011,verkoop@mgh.nl,www.jeep.nl?locationCode=00000429&bannerid=DL&source=WCOR,Sales,1
0710275,Jeep,NEFKENS H&H BAARN,52.216008,5.302028,"Meijewetering 19, 3741 LM Utrecht",Meijewetering 19,,3741 LM,Utrecht,NL,0355480333,info@nefkens.nl,www.jeep.nl?locationCode=00001849&bannerid=DL&source=WCOR,Sales,1
0710604,Jeep,MOTORHUIS B.V.,52.162693,4.473001,"Vondellaan 80, 2332 AH Leiden",Vondellaan 80,,2332 AH,Leiden,NL,0715351800,welkom@motorhuis.nl,www.jeep.nl?locationCode=00001210&bannerid=DL&source=WCOR,Sales,1
0710425,Jeep,AUTOCENTRUM VAN VLIET,52.025339,4.656492,"Coenecoop 143, 2741 PJ Waddinxveen",Coenecoop 143,,2741 PJ,Waddinxveen,NL,0182205025,info@autowinkel.nl,www.jeep.nl?locationCode=00001208&bannerid=DL&source=WCOR,Sales,1
0710652,Jeep,WITTEBRUG,52.05631,4.39444,"Donau 120, 2491 BC DEN HAAG",Donau 120,,2491 BC,DEN HAAG,NL,070 756 8700,info@wittebrug.nl,www.jeep.nl?locationCode=00000232&bannerid=DL&source=WCOR,Sales,1
0710038,Jeep,ZEEUW AUTOMOTIVE ROTTERDAM,51.929135,4.55036,3065 HJ, ,,3065 HJ, ,NL,0102020561,pieterzeeuw@zeeuw.nl,www.zeeuw-fcagroup.nl/dealer/jeep?locationCode=00001225&bannerid=DL&source=WCOR,Sales,1
0710411,Jeep,BROEKHUIS EDE,52.034664,5.62447,"Zuiderbreedte 36, 6716 AA Harderwijk",Zuiderbreedte 36,,6716 AA,Harderwijk,NL, ,verkoopdesk@broekhuis.nl,www.jeep.nl?locationCode=00002216&bannerid=DL&source=WCOR,Sales,1
0710965,Jeep,MULDERS AUTOBEDRIJF,51.904822,5.431078,"Franklinstraat 2, 4004 JK Tiel",Franklinstraat 2,,4004 JK,Tiel,NL,0344616147,info@mulders-autogroep.nl,www.jeep.nl?locationCode=00001711&bannerid=DL&source=WCOR,Sales,1
0710255,Jeep,AUTOBEDRIJF MULDER VAN MILL,51.805285,4.645802,3316 AK, ,,3316 AK, ,NL,078-6142044,servicesupport@muldervanmill.nl,www.jeep.nl?locationCode=00001796&bannerid=DL&source=WCOR,Sales,1
0710945,Jeep,WASSINK AUTOGROEP VELP,51.982451,5.984757,6883 DB, ,,6883 DB, ,NL, ,info@wassinkautogroep.nl,www.jeep.nl?locationCode=00001804&bannerid=DL&source=WCOR,Sales,1
0710930,Jeep,VAN MOSSEL BREDA,51.583044,4.825762,"Minervum 7001-c, 4817 ZL Breda",Minervum 7001-c,,4817 ZL,Breda,NL,0765222533,info.fjam@vanmossel.nl,www.jeep.nl?locationCode=00001219&bannerid=DL&source=WCOR,Sales,1
0710870,Jeep,HEKKERT,50.99552,5.83938,"Bergerweg 77, 6135 KD Sittard",Bergerweg 77,,6135 KD,Sittard,NL,31464206666,info@hekkertautogroep.nl,www.jeep.nl?locationCode=00001716&bannerid=DL&source=WCOR,Sales,1
0710270,Jeep,HAAIMA LEEUWARDEN,53.214023,5.812525,8923 EL, ,,8923 EL, ,NL, ,klantenservice@haaimahylkema.nl,www.jeep.nl?locationCode=00001788&bannerid=DL&source=WCOR,Sales,1
