dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
H3350,Land Rover,Kimman Amsterdam B.V.,52.30543,4.93551,"Kollenbergweg 74, 1101 AV Amsterdam",Kollenbergweg 74,,1101 AV,Amsterdam,NL,020-6964949,amsterdam@kimman.nl,http://kimman-landrover-amsterdam.nl,Sales,1
H3354,Land Rover,Land Rover Kimman Hillegom B.V.,52.31213,4.58983,"Haarlemmerstraat 36, 2181 HC Hillegom",Haarlemmerstraat 36,,2181 HC,Hillegom,NL,+31 252 278 444,hillegom@kimman.nl,http://kimman-landrover-hillegom.nl,Sales,1
H3900,Land Rover,Kroymans,52.2114,5.1444,"Oscar Romerolaan 2, 1216 TK Hilversum",Oscar Romerolaan 2,,1216 TK,Hilversum,NL,035-6261360,info@kroymans.nl,http://kroymans-landrover.nl,Sales,1
H3642,Land Rover,Land Rover Alkmaar Hedin Automotive,52.6084,4.7372,"Parelweg 5, 1812 RS Alkmaar",Parelweg 5,,1812 RS,Alkmaar,NL,072-5050111,info.purmerend@jagerauto.nl,https://hedinautomotive-landrover-alkmaar.nl/,Sales,1
H3800,Land Rover,Broekhuis Utrecht.,52.12227,5.02274,"De Heldinnenlaan 215, 3543 MB Utrecht",De Heldinnenlaan 215,,3543 MB,Utrecht,NL,030-850 75 00,utrecht@broekhuis.nl,http://broekhuis-landrover.nl,Sales,1
H3177,Land Rover,Jacob Schaap Land Rover,52.4814,5.49,"Artemisweg 17, 8239 DD Lelystad",Artemisweg 17,,8239 DD,Lelystad,NL,0320-411711,landrover@jacobschaap.nl,http://jacobschaap-landrover.nl,Sales,1
H3658,Land Rover,Land Rover Breeland B.V. (Den Haag),52.07,4.3898,"Forepark, Neckar 7-9, 2491 BE 's Gravenhage","Forepark, Neckar 7-9",,2491 BE,'s Gravenhage,NL,070-3012442,info@romijngroep.nl,http://romijn-landrover.nl,Sales,1
H3088,Land Rover,Land Rover Breeland B.V. (Rotterdam),51.91001,4.53609,"Autolettestraat 16, 3063 NP Rotterdam",Autolettestraat 16,,3063 NP,Rotterdam,NL,010-2424500,info@breeland.nl,http://breeland-landrover.nl,Sales,1
H1017,Land Rover,Land Rover Breeland B.V. (Dordrecht),51.80076,4.64849,"Mijlweg 25, 3316 BE Dordrecht",Mijlweg 25,,3316 BE,Dordrecht,NL,010-242 31 00,verkoop@rac.nl,http://rac-landrover.nl,Sales,1
H3320,Land Rover,Van Mossel Land Rover Apeldoorn,52.17919,5.97061,"Oude Apeldoornseweg 40A, 7333 NS Apeldoorn",Oude Apeldoornseweg 40A,,7333 NS,Apeldoorn,NL,055 - 368 28 47,info@van-mossellandrover.nl,http://vanmossel-apeldoorn-landrover.nl,Sales,1
H3294,Land Rover,The Adventure,51.7107,5.3394,"Reitscheweg 35, 5232 BX 's-Hertogenbosch",Reitscheweg 35,,5232 BX,'s-Hertogenbosch,NL,073-6446779,info@the-adventure.nl,http://theadventure-landrover.nl,Sales,1
H3700,Land Rover,Terlouw.,51.89241,5.82592,"Rietgraafsingel 4, 6678 PH Elst-Oosterhout",Rietgraafsingel 4,,6678 PH,Elst-Oosterhout,NL,026 - 323 3344,info@terlouw.nl,http://terlouw-landrover.nl,Sales,1
H3310,Land Rover,Van Mossel Land Rover Zwolle,52.52423,6.12006,"Oude Meppelerweg 2, 8024 AB Zwolle",Oude Meppelerweg 2,,8024 AB,Zwolle,NL,038-303 10 20,info@van-mossellandrover.nl,http://vanmossel-zwolle-landrover.nl,Sales,1
H3367,Land Rover,Land Rover Knook Breda,51.5962,4.7352,"Veldsteen 2, 4815 PK Breda",Veldsteen 2,,4815 PK,Breda,NL,076-5714888,info@knook-landrover.nl,http://knook-landrover.nl,Sales,1
H3615,Land Rover,Jacob Schaap de Reefhorst,52.96033,5.8727,"Hasker Utgongen 12, 8465 SJ Oudehaske",Hasker Utgongen 12,,8465 SJ,Oudehaske,NL,0513-413020,info@reefhorst.nl,http://dereefhorst-landrover.nl,Sales,1
H3407,Land Rover,Automobielbedrijf Cito B.V.,51.4824,5.45558,"Hondsruglaan 99, 5628 DB Eindhoven",Hondsruglaan 99,,5628 DB,Eindhoven,NL,040-2901120,info@cito-landrover.nl,http://automobielbedrijfcito-landrover.nl,Sales,1
H2021,Land Rover,Frans Munsterhuis Exclusief B.V.,52.24103,6.7616,"Goudstraat 31-49, 7554 NG Hengelo",Goudstraat 31-49,,7554 NG,Hengelo,NL,074-255 53 72,info-landrover@munsterhuis.nl,http://munsterhuis-landrover.nl,Sales,1
H3330,Land Rover,Van Mossel Land Rover Groningen,53.2201,6.6124,"Odenseweg,1, 9723 HA Groningen","Odenseweg,1",,9723 HA,Groningen,NL,0592-54 13 17,info@van-mossellandrover.nl,http://vanmossel-groningen-landrover.nl,Sales,1
H1021,Land Rover,Jaguar Land Rover Maastricht,50.92958,5.78226,"Afrikalaan 31, 6199 AH Maastricht- Airport",Afrikalaan 31,,6199 AH,Maastricht- Airport,NL,0031 88 430 09 00,info@jaguarlandrovermaastricht.nl,http://landrover-maastricht.nl,Sales,1
