dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
00018,Mazda,Automobielbedrijf Peeten,51.33778,6.09796,"Napoleonsbaan Noord, 5991NV Baarlo",Napoleonsbaan Noord,,5991NV,Baarlo,NL,"{'original': '+31774771590', 'e164': '+31774771590', 'national': '077 477 1590', 'international': '+31 77 477 1590', 'default': '077 477 1590'}",info@peetenmobiel.nl,https://www.mazda.nl/dealer/automobielbedrijf-peeten/home/,Car Repair | Car Sales,2
00064,Mazda,Mazda Winkelhorst,51.96204,6.70633,"Vreehorstweg, 7102EK Winterswijk",Vreehorstweg,,7102EK,Winterswijk,NL,"{'original': '+31543530550', 'e164': '+31543530550', 'national': '0543 530 550', 'international': '+31 543 530 550', 'default': '0543 530 550'}",jochem@winkelhorst-mazda.nl,https://www.mazda.nl/dealer/mazda-winkelhorst/home/,Car Repair | Car Sales,2
00072,Mazda,Autobedrijf Kooy Spijkenisse,51.8525,4.3036,"Edisonweg, 3208KB Spijkenisse",Edisonweg,,3208KB,Spijkenisse,NL,"{'original': '+31181613544', 'e164': '+31181613544', 'national': '0181 613 544', 'international': '+31 181 613 544', 'default': '0181 613 544'}",info@kooy-spijkenisse.nl,https://www.mazda.nl/dealer/autobedrijf-kooy/home/?dealerid=00072,Car Repair | Car Sales,2
00099,Mazda,Moerman Jansen,51.84711,4.68102,"Edisonweg, 2952AD Alblasserdam",Edisonweg,,2952AD,Alblasserdam,NL,"{'original': '+31786446444', 'e164': '+31786446444', 'national': '078 644 6444', 'international': '+31 78 644 6444', 'default': '078 644 6444'}",receptie@moja.nl,https://www.mazda.nl/dealer/moerman-jansen/home/,Car Repair | Car Sales,2
00149,Mazda,Terpstra Groningen,53.22099,6.61397,"Rostockweg, 9723HG Groningen",Rostockweg,,9723HG,Groningen,NL,"{'original': '+31505474220', 'e164': '+31505474220', 'national': '050 547 4220', 'international': '+31 50 547 4220', 'default': '050 547 4220'}",info@autoterpstra.nl,https://www.mazda.nl/dealer/terpstra-groningen/home/,Car Repair | Car Sales,2
00187,Mazda,Autobedrijf Knoop Maarssen,52.12915,5.0358,"Kometenweg, 3606BD Maarssen",Kometenweg,,3606BD,Maarssen,NL,"{'original': '+31346586444', 'e164': '+31346586444', 'national': '0346 586 444', 'international': '+31 346 586 444', 'default': '0346 586 444'}",info@knoopweb.nl,https://www.mazda.nl/dealer/autobedrijf-knoop-maarssen/home/,Car Repair | Car Sales,2
00197,Mazda,Jansen Arnhem,51.97589,5.95694,"Vlamoven, 6826TN Arnhem",Vlamoven,,6826TN,Arnhem,NL,"{'original': '+31263648888', 'e164': '+31263648888', 'national': '026 364 8888', 'international': '+31 26 364 8888', 'default': '026 364 8888'}",mazda@jansenarnhem.nl,https://www.mazda.nl/dealer/jansen-arnhem/home/,Car Repair | Car Sales,2
00225,Mazda,De Voorstad,52.06364,4.51733,"Akkerdreef, 2723XZ Zoetermeer",Akkerdreef,,2723XZ,Zoetermeer,NL,"{'original': '+31793319209', 'e164': '+31793319209', 'national': '079 331 9209', 'international': '+31 79 331 9209', 'default': '079 331 9209'}",info@voorstad.nl,https://www.mazda.nl/dealer/de-voorstad/home/,Car Repair | Car Sales,2
00231,Mazda,Autobedrijf Pierre Heerhugowaard,52.67238,4.82678,"Nijverheidsstraat, 1704RA Heerhugowaard",Nijverheidsstraat,,1704RA,Heerhugowaard,NL,"{'original': '+31725715406', 'e164': '+31725715406', 'national': '072 571 5406', 'international': '+31 72 571 5406', 'default': '072 571 5406'}",verkoop@autopierre.nl,https://www.mazda.nl/dealer/autobedrijf-pierre/home/?dealerid=00231,Car Repair | Car Sales,2
00247,Mazda,Autobedrijf Kooy Oud-Beijerland,51.81286,4.41802,"Ferrarilaan, 3261 NC Oud Beijerland",Ferrarilaan,,3261 NC,Oud Beijerland,NL,"{'original': '+31186621500', 'e164': '+31186621500', 'national': '0186 621 500', 'international': '+31 186 621 500', 'default': '0186 621 500'}",info@kooy-autos.nl,https://www.mazda.nl/dealer/autobedrijf-kooy/home/?dealerid=00247,Car Repair | Car Sales,2
