dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
5248,Mitsubishi,Stam Amersfoort,52.19747,5.3962,"Gemini 1, 3824 MH",Gemini 1,,3824 MH,,NL,033-4536690,,https://stam.mitsubishi-motors.nl/,Sales/Service,1
4994,Mitsubishi,Herwers Hengelo (Gld),52.041468,6.304445,"Kruisbergseweg 8, 7255 AE",Kruisbergseweg 8,,7255 AE,,NL,0575-462244,hengelo@herwers.nl,https://www.herwers.nl/mitsubishi-motors/,Sales/Service,1
130,Mitsubishi,Auto Winters Valkenswaard B.V.,51.350556,5.458889,"Dragonder 18, 5554 GM",Dragonder 18,,5554 GM,,NL,040-2045678,info@autowinters.nl,https://winters.mitsubishi-motors.nl/,Sales/Service,1
4995,Mitsubishi,Zeeuw & Zeeuw Rotterdam,51.869867,4.549732,"Kamerlingh Onnesweg 32, 2991 XL",Kamerlingh Onnesweg 32,,2991 XL,,NL,010-2923434,info.mitsubishi-rotterdam@zeeuwenzeeuw.nl,https://zeeuwenzeeuw.mitsubishi-motors.nl/,Sales/Service,1
132,Mitsubishi,Polderman B.V.,52.265556,4.558333,"Heereweg 50, 2161 AH",Heereweg 50,,2161 AH,,NL,0252-418850,info@polderman-lisse.nl,https://polderman.mitsubishi-motors.nl/,Sales/Service,1
137,Mitsubishi,Autobedrijf Gelissen Sittard B.V.,50.995556,5.840833,"Bergerweg 75, 6135 KD",Bergerweg 75,,6135 KD,,NL,046-4200695,info@autogelissen.nl,https://autogelissen.mitsubishi-motors.nl/,Sales/Service,1
138,Mitsubishi,Autobedrijf Jubbega B.V.,52.695,6.204722,"Blankenstein 520, 7943 PA",Blankenstein 520,,7943 PA,,NL,0522-242525,info@jubbega.nl,https://meppel.mitsubishi-motors.nl/,Sales/Service,1
141,Mitsubishi,Autobedrijf Jan Snel B.V.,51.801699,4.563521,"Sportlaan 1, 3297 TG",Sportlaan 1,,3297 TG,,NL,078-6761177,info@jansnelputtershoek.nl,https://jan-snel.mitsubishi-motors.nl/,Sales/Service,1
144,Mitsubishi,Autobedrijf Koster,52.226944,5.490556,"Vetkamp 94, 3861 JS",Vetkamp 94,,3861 JS,,NL,033-2460589,info@kosternijkerk.nl,https://kosternijkerk.mitsubishi-motors.nl/,Sales/Service,1
5266,Mitsubishi,Mengelers Venlo,51.37758,6.162688,"Rudolf Dieselweg 28, 5928 RA",Rudolf Dieselweg 28,,5928 RA,,NL,077-3820685,,https://mengelers.mitsubishi-motors.nl/,Sales/Service,1
