dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
nl_nissan_62070212,Nissan,ABD NISSAN DRACHTEN,,,"Omloop 56, 9201 CC DRACHTEN",Omloop 56,,9201 CC,DRACHTEN,NL,0512-571671,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070217,Nissan,ABD NISSAN HEERENVEEN,,,"Skrynmakker 26, 8447 GH HEERENVEEN",Skrynmakker 26,,8447 GH,HEERENVEEN,NL,0513-633775,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070213,Nissan,ABD NISSAN LEEUWARDEN,,,"Hortensiastraat 2, 8922 HD LEEUWARDEN",Hortensiastraat 2,,8922 HD,LEEUWARDEN,NL,058-2072000,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070874,Nissan,AUTO STURM B.V.,,,"Pascalweg 2, 3208 KL SPIJKENISSE",Pascalweg 2,,3208 KL,SPIJKENISSE,NL,0181-782000,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071091,Nissan,AUTO STURM BREDA,,,"Spinveld 29, 4815 HR BREDA",Spinveld 29,,4815 HR,BREDA,NL,076-2300140,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071081,Nissan,AUTO STURM ROOSENDAAL,,,"Belder 35, 4704 RK ROOSENDAAL",Belder 35,,4704 RK,ROOSENDAAL,NL,0165-573777,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070758,Nissan,AUTOGROEP URSEM BARTEN ALKMAAR,,,"Robbenkoog 5, 1822 BA ALKMAAR",Robbenkoog 5,,1822 BA,ALKMAAR,NL,072-3030084,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070761,Nissan,AUTOGROEP URSEM BARTEN AMSTERDAM-NOORD,,,"Netwerkweg 51, 1033 MV AMSTERDAM",Netwerkweg 51,,1033 MV,AMSTERDAM,NL,020-6332111,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070757,Nissan,AUTOGROEP URSEM BARTEN PURMEREND,,,"Binnenzeestraat 1, 1446 AB PURMEREND",Binnenzeestraat 1,,1446 AB,PURMEREND,NL,0299-644111,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070759,Nissan,AUTOGROEP URSEM BARTEN SCHAGEN,,,"Witte Paal 321, 1742 LD SCHAGEN",Witte Paal 321,,1742 LD,SCHAGEN,NL,0224-214204,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070753,Nissan,AUTOGROEP URSEM BARTEN ZWAAG,,,"De Compagnie 52, 1689 AG ZWAAG",De Compagnie 52,,1689 AG,ZWAAG,NL,0229-249394,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62071073,Nissan,BOCHANE DEN BOSCH,,,"Sigarenmakerstraat 1, 5232 BJ S-HERTOGENBOSCH",Sigarenmakerstraat 1,,5232 BJ,S-HERTOGENBOSCH,NL,073-2082500,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
nl_nissan_62070507,Nissan,BOCHANE HARDERWIJK,,,"Zuiderbreedte 6, 3845 MC HARDERWIJK",Zuiderbreedte 6,,3845 MC,HARDERWIJK,NL,0341-439080,,,nl_nissan_VERKOOP | nl_nissan_ONDERHOUD | nl_nissan_TESTDRIVE | nl_nissan_SCHADEHERSTEL,4
