dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
0000056589,Opel,Janssen Van Kouwen Amsterdam,52.2986534,4.9465971,"Snijdersbergweg 99, 1105 AN Amsterdam",Snijdersbergweg 99,,1105 AN,Amsterdam,NL,+31 20  6500670,klantcontact@janssenvankouwen.nl,,VENTES DE VÉHICULES NEUFS LCV | OPEL Select Occasions | Uw OPEL onderhouden | Een nieuwe OPEL kopen | OPEL onderdelen | e-EXPERT Center | e- Commerce,7
0000056427,Opel,Hedin Automotive Wormerveer,52.4840559,4.8082601,"Oost-Indischekade 7-9, 1521 AR Wormerveer",Oost-Indischekade 7-9,,1521 AR,Wormerveer,NL,+31 75  6470370,klantencontact.opel@hedinautomotive.nl,,OPEL onderdelen | Uw OPEL onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe OPEL kopen | OPEL Select Occasions | e-EXPERT Center | Opel Erkend Schadeherstel | e- Commerce,8
0000056592,Opel,Janssen Van Kouwen Aalsmeer,52.2745364,4.7717336,"Oosteinderweg 110, 1432 AN Aalsmeer",Oosteinderweg 110,,1432 AN,Aalsmeer,NL,+31 297  329911,klantcontact@janssenvankouwen.nl,,OPEL onderdelen | Uw OPEL onderhouden | e- Commerce,3
0000056529,Opel,Motorhuis Hoofddorp,52.3061325,4.6655954,"Sonderholm 164, 2133 JJ Hoofddorp",Sonderholm 164,,2133 JJ,Hoofddorp,NL,+31 235 542920,opel.klantcontact@motorhuis.nl,,OPEL onderdelen | OPEL Select Occasions | Uw OPEL onderhouden | VENTES DE VÉHICULES NEUFS LCV | Een nieuwe OPEL kopen | Opel Erkend Schadeherstel | e-EXPERT Center | e- Commerce,8
0000071352,Opel,Hedin Automotive Purmerend,52.513226,5.009373,"Component 74, 1446 WP Purmerend",Component 74,,1446 WP,Purmerend,NL,0299422551,kcc@hedinautomotive.nl,,Een nieuwe OPEL kopen | Uw OPEL onderhouden | VENTES DE VÉHICULES NEUFS LCV | e- Commerce,4
0000056512,Opel,Motorhuis Velserbroek,52.43707,4.6536287,"Zeilmakerstraat 15, 1991 JC Velserbroek",Zeilmakerstraat 15,,1991 JC,Velserbroek,NL,+31 23 517 3120,opel.klantcontact@motorhuis.nl,,Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV | Uw OPEL onderhouden | e-EXPERT Center | e- Commerce | Opel Erkend Schadeherstel,6
0000127446,Opel,Janssen van Kouwen Hilversum,52.2115231982394,5.14191939588058,"Oscar Romerolaan 21, 1216 TJ Hilversum",Oscar Romerolaan 21,,1216 TJ,Hilversum,NL,0356210953,info@janssenvankouwen.nl,,Een nieuwe OPEL kopen | Uw OPEL onderhouden | VENTES DE VÉHICULES NEUFS LCV,3
0000113699,Opel,Janssen van Kouwen Almere,52.360509,5.257941,"Palmpolstraat 6, 1327 CE Almere",Palmpolstraat 6,,1327 CE,Almere,NL,0850530030,info@janssenvankouwen.nl,,Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV | Uw OPEL onderhouden,3
0000120408,Opel,Nefkens Utrecht Meijewetering,52.113661,5.034842,"Meijewetering 19, 3543 AA Utrecht",Meijewetering 19,,3543 AA,Utrecht,NL,030 2414243,info@nefkens.nl,,Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV | Uw OPEL onderhouden,3
0000109859,Opel,Autocentrum van Vliet Alphen,52.125752,4.630022,"Curieweg 9, 2408 BZ Alphen aan den Rijn",Curieweg 9,,2408 BZ,Alphen aan den Rijn,NL,0172-460960,info@autocentrumvanvliet.nl,,Een nieuwe OPEL kopen | Uw OPEL onderhouden | VENTES DE VÉHICULES NEUFS LCV | e- Commerce,4
0000056396,Opel,Autocentrum van Vliet Woerden,52.075342,4.903006,"Botnische Golf 13, 3446 CN Woerden",Botnische Golf 13,,3446 CN,Woerden,NL,+31 348  486060,info@autocentrumvanvliet.nl,,OPEL onderdelen | Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV | Uw OPEL onderhouden | OPEL Select Occasions | e-EXPERT Center | e- Commerce | Opel Erkend Schadeherstel,8
0000119325,Opel,Motorhuis Leiden,52.162596,4.473088,"Vondellaan 80, 2332AH Leiden",Vondellaan 80,,2332AH,Leiden,NL,0715351800,opel.klantcontact@motorhuis.nl,,VENTES DE VÉHICULES NEUFS LCV | Uw OPEL onderhouden | Een nieuwe OPEL kopen,3
0000120463,Opel,Nefkens Zeist,52.089178,5.211411,"Pijlstaartlaan 1, 3704 HS Zeist",Pijlstaartlaan 1,,3704 HS,Zeist,NL,0302542060,info@nefkens.nl,,Een nieuwe OPEL kopen | Uw OPEL onderhouden,2
0000120464,Opel,Nefkens Amersfoort,52.1650295,5.3532333,"Amsterdamseweg 151, 3812 RR Amersfoort",Amsterdamseweg 151,,3812 RR,Amersfoort,NL,0334613846,info@nefkens.nl,,Uw OPEL onderhouden | Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV,3
0000120426,Opel,Nefkens Nieuwegein Parkerbaan,52.030767,5.104071,"Parkerbaan 12, 3439 MC Nieuwegein",Parkerbaan 12,,3439 MC,Nieuwegein,NL,0306047820,info@nefkens.nl,,Een nieuwe OPEL kopen | Uw OPEL onderhouden,2
0000109776,Opel,Autocentrum van Vliet Gouda,52.015732,4.687755,"KEERKRING 3, 2801 DG Gouda",KEERKRING 3,,2801 DG,Gouda,NL,0182-683939,info@autocentrumvanvliet.nl,,Uw OPEL onderhouden | Een nieuwe OPEL kopen | VENTES DE VÉHICULES NEUFS LCV | e- Commerce,4
