dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
0000046587,Peugeot,Van Mossel Peugeot Amsterdam Noord,52.3869,4.92527,"Johan van Hasseltweg 65, 1021 KN Amsterdam",Johan van Hasseltweg 65,,1021 KN,Amsterdam,NL,088  0014200,amsterdam-noord@vanmossel.peugeot.nl,,Nieuwe auto's | Gebruikte auto's | Aftersales | VENTES DE VÉHICULES NEUFS LCV | Charte B2B Après-vente | CAMPERS | Online werkplaatsplanner | Reprise Autobiz,8
0000046586,Peugeot,Van Mossel Peugeot Amsterdam Zuidoost,52.3009715,4.9374325,"Klokkenbergweg 29, 1101 AK Amsterdam ZO",Klokkenbergweg 29,,1101 AK,Amsterdam ZO,NL,088  0014500,amsterdam-zuidoost@vanmossel.peugeot.nl,,Nieuwe auto's | VENTES DE VÉHICULES NEUFS LCV | Gebruikte auto's | Aftersales | Online werkplaatsplanner | CAMPERS | Charte B2B Après-vente | e-EXPERT Center | Reprise Autobiz,9
0000059462,Peugeot,Van Mossel Peugeot Zaandam,52.430619,4.8102440000000115,"Kleine Tocht 23, 1507 CB Zaandam",Kleine Tocht 23,,1507 CB,Zaandam,NL,075  6160074,info@vanmossel.nl,,Nieuwe auto's | VENTES DE VÉHICULES NEUFS LCV | Aftersales | Gebruikte auto's | Charte B2B Après-vente | Reprise Autobiz | Online werkplaatsplanner,7
0000046588,Peugeot,Van Mossel Peugeot Amstelveen,52.283858,4.837898,"Bouwerij 6, 1185 XX Amstelveen",Bouwerij 6,,1185 XX,Amstelveen,NL,088  0014400,amstelveen@vanmossel.peugeot.nl,,Aftersales | VENTES DE VÉHICULES NEUFS LCV | Nieuwe auto's | Gebruikte auto's | Reprise Autobiz | Charte B2B Après-vente | Online werkplaatsplanner,7
0000059443,Peugeot,Van Mossel Peugeot Purmerend,52.515298,5.011149,"Vleetstraat 15-17, 1446 AP Purmerend",Vleetstraat 15-17,,1446 AP,Purmerend,NL,0299  640096,info@vanmossel.nl,,Gebruikte auto's | Nieuwe auto's | VENTES DE VÉHICULES NEUFS LCV | Aftersales | Online werkplaatsplanner | Charte B2B Après-vente | Reprise Autobiz | e-EXPERT Center,8
0000046589,Peugeot,Van Mossel Peugeot Heemstede,52.34403,4.63148,"Cruquiusweg 37C, 2102 LS Heemstede",Cruquiusweg 37C,,2102 LS,Heemstede,NL,088  0014600,heemstede@vanmossel.peugeot.nl,,VENTES DE VÉHICULES NEUFS LCV | Aftersales | Gebruikte auto's | Nieuwe auto's | Reprise Autobiz | e-EXPERT Center | CAMPERS | Online werkplaatsplanner | Charte B2B Après-vente,9
0000052515,Peugeot,Van Mossel Peugeot Heemskerk,52.5071301,4.65493570000001,"Rijksstraatweg 54, 1964 LK Heemskerk",Rijksstraatweg 54,,1964 LK,Heemskerk,NL,0251  243193,info@vanmossel.nl,,Gebruikte auto's | VENTES DE VÉHICULES NEUFS LCV | Nieuwe auto's | Aftersales | Online werkplaatsplanner | Reprise Autobiz | Charte B2B Après-vente,7
0000117313,Peugeot,Janssen van Kouwen Hilversum,52.211291,5.14201,"Oscar Romerolaan 21, 1216 TJ Hilversum",Oscar Romerolaan 21,,1216 TJ,Hilversum,NL,0356210953,info@janssenvankouwen.nl,,VENTES DE VÉHICULES NEUFS LCV | Aftersales | Nieuwe auto's,3
0000109282,Peugeot,Janssen van Kouwen Almere,52.360509,5.257941,"Palmpolstraat 6, 1327 CE Almere",Palmpolstraat 6,,1327 CE,Almere,NL,0850530030,info@janssenvankouwen.nl,,Aftersales | Onderdelen | Nieuwe auto's | VENTES DE VÉHICULES NEUFS LCV,4
0000046592,Peugeot,Van Mossel Peugeot Hillegom,52.273898,4.573594,"Arnoudstraat 18, 2182 DZ Hillegom",Arnoudstraat 18,,2182 DZ,Hillegom,NL,088  0014800,hillegom@vanmossel.peugeot.nl,,Aftersales | Gebruikte auto's | Nieuwe auto's | VENTES DE VÉHICULES NEUFS LCV | Online werkplaatsplanner | Reprise Autobiz | CAMPERS | Charte B2B Après-vente,8
