dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
MDM000001LUIUT,Polestar,Nieuwenhuijse Hengelo,52.2439651,6.789154,"Steenzoutweg 10, 7554 RN Hengelo",Steenzoutweg 10,,7554 RN,Hengelo,NL,+31742422966,hengelo@nieuwenhuijse.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_handover | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | home_delivery | volvo_damage_repair | volvo_workshop | warranty_and_repair | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | PDI_PDS_service | lnk_return_point | volvo_new_car_sales,23
MDM000001LUIWE,Polestar,Henk Scholten Ede B.V.,52.04399,5.616653,"Neonstraat 19, 6718 WX Ede",Neonstraat 19,,6718 WX,Ede,NL,+31318666688,henkscholtenonline@henkscholten.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | lnk_return_point | volvo_new_car_sales,25
MDM000001LUIXJ,Polestar,Henk Scholten Nijmegen B.V.,51.84060,5.80352,"Hogelandseweg 104, 6545 AB Nijmegen",Hogelandseweg 104,,6545 AB,Nijmegen,NL,+31243515253,henkscholtenonline@henkscholten.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | home_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_car_rental | volvo_used_car_sales | PDI_PDS_service | lnk_return_point | volvo_new_car_sales,28
MDM000001LUIZH,Polestar,Hooftman Autobedrijf B.V.,52.03062,4.652843,"Coenecoop 59, 2741 PH Waddinxveen",Coenecoop 59,,2741 PH,Waddinxveen,NL,+31182642100,waddinxveen@hooftman.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | home_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | distribution_point | volvo_digital_commerce | volvo_car_rental | volvo_used_car_sales | PDI_PDS_service | lnk_return_point | volvo_new_car_sales,29
MDM000001LUJ18,Polestar,Ton van Kuyk Waterland B.V.,52.51292,5.005237,"Component 102, 1446 WP Purmerend",Component 102,,1446 WP,Purmerend,NL,+31299313030,waterland@tvk.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_car_rental | volvo_digital_commerce | volvo_used_car_sales | lnk_return_point | volvo_new_car_sales,24
MDM000001LUQA1,Polestar,Autobedrijf Rutten Echt,51.124580,5.891160,"Fahrenheitweg 22, 6101 WR Echt",Fahrenheitweg 22,,6101 WR,Echt,NL,+31475340789,infoecht@autobedrijfrutten.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | lnk_return_point | volvo_new_car_sales,25
MDM000001LUQKL,Polestar,Ton van Kuyk Hoorn B.V.,52.64151,5.098601,"Kernweg 8 HN 80, 1627 LC Hoorn",Kernweg 8 HN 80,,1627 LC,Hoorn,NL,+31229284000,hoorn@tvk.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_subscription | lnk_pickup_and_delivery | home_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | PDI_PDS_service | lnk_return_point | volvo_new_car_sales,27
MDM000001LUQML,Polestar,Hedin Automotive Lijnden,52.34737,4.768388,"Sydneystraat 9, 1175 RN Lijnden",Sydneystraat 9,,1175 RN,Lijnden,NL,+31235648222,info.lijnden.volvo@hedinautomotive.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | lnk_warranty | lnk_used_car_sales | lnk_subscription | lnk_pickup_and_delivery | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | lnk_workshop | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | lnk_new_car_sales | lnk_return_point | volvo_new_car_sales,27
MDM000001LUQO9,Polestar,Van Der Schaaf Drachten B.V.,53.12672,6.077826,"Jade 18-20, 9207 GL Drachten",Jade 18-20,,9207 GL,Drachten,NL,+31512511255,drachten@vanderschaaf-friesland.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_shop | volvo_body_shop | volvo_online_sales | pickup_and_delivery | vcc_digital_workshop_booking | volvo_car_rental | volvo_digital_commerce | volvo_used_car_sales | volvo_new_car_sales,21
MDM000001LUQQZ,Polestar,Autobedrijf Jacob Schaap Emmeloord,52.69795,5.757817,"Traktieweg 6, 8304 BA Emmeloord",Traktieweg 6,,8304 BA,Emmeloord,NL,+31527613631,emmeloord@jacobschaap.nl,https://www.polestar.com/nl/locations/,wheel_change_and_storage | volvo_certified_damage_repair_workshop | volvo_selekt_member | volvo_main | digital_workshop_booking | volvo_fleet_sales | volvo_handover | volvo_digital_commerce_products | service_contract | volvo_insurance | volvo_workshop | warranty_and_repair | volvo_online_sales | pickup_and_delivery | vcc_digital_workshop_booking | volvo_digital_commerce | volvo_used_car_sales | volvo_new_car_sales,18
