dealer_id,brand,name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,phone,email,website,products,products_count
68,Suzuki,Suzuki Breda,51.598653000,4.742477000,"Huifakkerstraat 5, 4815 PN BREDA",Huifakkerstraat 5,,4815 PN,BREDA,NL,+31765714292,suzuki.breda@louwman.nl,,Sales & Service,2
39,Suzuki,Jonker Suzuki Zaanstad,52.432321000,4.820479000,"Oud Zaenden 12, 1506 PE ZAANDAM",Oud Zaenden 12,,1506 PE,ZAANDAM,NL,+31756123885,verkoop@suzukizaanstad.nl,,Sales & Service,2
293,Suzuki,Oostendorp Suzuki Den Bosch,51.703720000,5.326400000,"Hervensebaan 11, 5232 JL 'S-HERTOGENBOSCH",Hervensebaan 11,,5232 JL,'S-HERTOGENBOSCH,NL,+31735233815,online@suzuki-denbosch.nl,,Sales & Service,2
87,Suzuki,Automobielbedrijf Klok & Thissen,52.502483000,4.655258000,"Rijksstraatweg 19, 1969 LB HEEMSKERK",Rijksstraatweg 19,,1969 LB,HEEMSKERK,NL,+31251252122,info@klokenthissen.nl,,Sales & Service,2
70,Suzuki,Autobedrijf R. Verstegen BV.,51.656108000,5.629382000,"Loopkantstraat 12, 5405 NB UDEN",Loopkantstraat 12,,5405 NB,UDEN,NL,+31413250444,verkoop@autoverstegen.nl,,Sales & Service,2
37,Suzuki,Auto Berkelaar Mijdrecht,52.207203000,4.876357000,"Genieweg 50, 3641 RH MIJDRECHT",Genieweg 50,,3641 RH,MIJDRECHT,NL,+31297272381,verkoopsuzuki@berkelaar.nl,,Sales & Service,2
35,Suzuki,Kreijne Hilversum B.V.,52.212709000,5.146033000,"Franciscusweg 355, 1216 SM HILVERSUM",Franciscusweg 355,,1216 SM,HILVERSUM,NL,+31356243944,verkoophilversum@kreijne.nl,,Sales & Service,2
58,Suzuki,RiBo Gorinchem B.V.,51.834564000,4.970250000,"Stationsweg 21, 4205 AA GORINCHEM",Stationsweg 21,,4205 AA,GORINCHEM,NL,+31183627999,info@ribogorinchem.nl,,Sales & Service,2
360,Suzuki,Mengelers Suzuki Heerlen,50.903612000,5.946700000,"Breukerweg 174, 6412 ZL HEERLEN",Breukerweg 174,,6412 ZL,HEERLEN,NL,+31455218811,verkoop.suzuki.heerlen@mengelers.nl,,Sales & Service,2
307,Suzuki,Luykx Heemstede B.V.,52.344560000,4.628913000,"Cruquiusweg 29-A, 2102 LS HEEMSTEDE",Cruquiusweg 29-A,,2102 LS,HEEMSTEDE,NL,+31235285950,verkoop@autoluykx.nl,,Sales & Service,2
376,Suzuki,Zeeuw & Zeeuw Suzuki Gouda,52.006450000,4.687699000,"Edisonstraat 2, 2809 PB GOUDA",Edisonstraat 2,,2809 PB,GOUDA,NL,,verkoop.suzuki-gouda@zeeuwenzeeuw.nl,,Sales & Service,2
59,Suzuki,Reno Dordrecht B.V.,51.801030000,4.646845000,"Nijverheidstraat 65, 3316 AP DORDRECHT",Nijverheidstraat 65,,3316 AP,DORDRECHT,NL,+31786139244,m.dewilt@renoauto.nl,,Sales & Service,2
40,Suzuki,Auto Jonker Hoorn,52.667832000,5.061008000,"De Compagnie 2, 1689 AG ZWAAG",De Compagnie 2,,1689 AG,ZWAAG,NL,+31229230434,verkoop@suzukihoorn.nl,,Sales & Service,2
352,Suzuki,Autobedrijf Wilmink Almelo BV,52.332192000,6.651611000,"Twentelaan 21, 7609 RE ALMELO",Twentelaan 21,,7609 RE,ALMELO,NL,+31546850001,verkoopalmelo@benniewilmink.nl,,Sales & Service,2
56,Suzuki,Reno Autoservice B.V.,51.829576000,4.771685000,"Lelystraat 24, 3364 AJ SLIEDRECHT",Lelystraat 24,,3364 AJ,SLIEDRECHT,NL,+31184411662,j.vanhouwelingen@renoauto.nl,,Sales & Service,2
18,Suzuki,Auto Versteeg Buurman Deventer B.V.,52.245835000,6.199162000,"Revalstraat 2, 7418 BJ DEVENTER",Revalstraat 2,,7418 BJ,DEVENTER,NL,+31570624466,verkoopdeventer@versteegbuurman.com,,Sales & Service,2
354,Suzuki,Zeeuw & Zeeuw Suzuki Utrecht,52.074623000,5.045859000,"Landzigt 12, 3454 PE DE MEERN",Landzigt 12,,3454 PE,DE MEERN,NL,+31302619580,verkoop.suzuki-utrecht@zeeuwenzeeuw.nl,,Sales & Service,2
291,Suzuki,Autobedrijf Arnold de Rijk B.V.,51.544160000,4.499770000,"Keulsveld 15, 4705 RS ROOSENDAAL",Keulsveld 15,,4705 RS,ROOSENDAAL,NL,+31165561456,info@arnoldderijk.nl,,Sales & Service,2
1,Suzuki,Autobedrijf Doornbos B.V.,53.335040000,6.903780000,"Europaweg 36, 9931 AA DELFZIJL",Europaweg 36,,9931 AA,DELFZIJL,NL,+31596615253,info@autobedrijfdoornbos.nl,,Sales & Service,2
20,Suzuki,Autobedrijf Winkelhorst,51.928737000,6.572244000,"Hogestraat 91, 7122 BT AALTEN",Hogestraat 91,,7122 BT,AALTEN,NL,+31543472873,martien@suzuki-winkelhorst.nl,,Sales & Service,2
374,Suzuki,Autobedrijf Kreijne Almere,52.400645000,5.262454000,"Zandzuigerstraat 6, 1333 HD ALMERE",Zandzuigerstraat 6,,1333 HD,ALMERE,NL,+31365494249,verkoopalmere@kreijne.nl,,Sales & Service,2
